"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","688532","","","","0"
"2004-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","861005","","","","0"
"2004-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","107505","","","","0"
"2004-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","485817","","","","0"
"2004-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","438553","","","","0"
"2004-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","639742","","","","0"
"2004-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","666822","","","","0"
"2005-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","615396","","","","0"
"2005-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","466632","","","","0"
"2005-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","426302","","","","0"
"2005-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","363663","","","","0"
"2005-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","311091","","","","0"
"2005-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","712684","","","","0"
"2005-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","711943","","","","0"
"2005-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","364842","","","","0"
"2005-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","522656","","","","0"
"2005-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","467998","","","","0"
"2005-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","673434","","","","0"
"2005-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","528369","","","","0"
"2006-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","419473","","","","0"
"2006-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","415762","","","","0"
"2006-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","557624","","","","0"
"2006-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","620445","","","","0"
"2006-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","550295","","","","0"
"2006-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","808393","","","","0"
"2006-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","994388","","","","0"
"2006-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","526897","","","","0"
"2006-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","522151","","","","0"
"2006-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","577379","","","","0"
"2006-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","750693","","","","0"
"2006-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","576422","","","","0"
"2007-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","600266","","","","0"
"2007-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","542451","","","","0"
"2007-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","569692","","","","0"
"2007-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","434816","","","","0"
"2007-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","515903","","","","0"
"2007-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","857083","","","","0"
"2007-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1061926","","","","0"
"2007-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","404769","","","","0"
"2007-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","366821","","","","0"
"2007-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","488149","","","","0"
"2007-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","615822","","","","0"
"2007-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","513852","","","","0"
"2008-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","362285","","","","0"
"2008-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","384297","","","","0"
"2008-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","418051","","","","0"
"2008-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","320467","","","","0"
"2008-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","304851","","","","0"
"2008-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","491753","","","","0"
"2008-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","672734","","","","0"
"2008-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","288074","","","","0"
"2008-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","566318","","","","0"
"2008-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","570871","","","","0"
"2008-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","660919","","","","0"
"2008-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","490688","","","","0"
"2009-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","388435","","","","0"
"2009-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","496356","","","","0"
"2009-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","637628","","","","0"
"2009-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","606989","","","","0"
"2009-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","428563","","","","0"
"2009-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","727876","","","","0"
"2009-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","821706","","","","0"
"2009-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","214695","","","","0"
"2009-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","966020","","","","0"
"2009-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","576945","","","","0"
"2009-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","737737","","","","0"
"2009-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","643674","","","","0"
"2010-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","522428","","","","0"
"2010-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","687200","","","","0"
"2010-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","686885","","","","0"
"2010-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","595010","","","","0"
"2010-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","362874","","","","0"
"2010-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","698715","","","","0"
"2010-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","857879","","","","0"
"2010-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","376077","","","","0"
"2010-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","365820","","","","0"
"2010-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","423522","","","","0"
"2010-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","515204","","","","0"
"2010-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","615839","","","","0"
"2011-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","563808","","","","0"
"2011-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","471967","","","","0"
"2011-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","692755","","","","0"
"2011-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","392322","","","","0"
"2011-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","320453","","","","0"
"2011-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","694161","","","","0"
"2011-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","758238","","","","0"
"2011-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","362479","","","","0"
"2011-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","778232","","","","0"
"2011-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","566088","","","","0"
"2011-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1097321","","","","0"
"2011-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","685045","","","","0"
"2012-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","539615","","","","0"
"2012-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","821599","","","","0"
"2012-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","467173","","","","0"
"2012-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","390314","","","","0"
"2012-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","468907","","","","0"
"2012-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","429749","","","","0"
"2012-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","644588","","","","0"
"2012-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","667496","","","","0"
"2012-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","577207","","","","0"
"2012-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","742940","","","","0"
"2012-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","702801","","","","0"
"2012-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","518805","","","","0"
"2013-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","610030","","","","0"
"2013-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","611790","","","","0"
"2013-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","529223","","","","0"
"2013-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","480575","","","","0"
"2013-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","321343","","","","0"
"2013-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","595004","","","","0"
"2013-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","783490","","","","0"
"2013-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","466942","","","","0"
"2013-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1056985","","","","0"
"2013-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","807337","","","","0"
"2013-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","655976","","","","0"
"2013-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","662442","","","","0"
"2014-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","769402","","","","0"
"2014-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","540040","","","","0"
"2014-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","722525","","","","0"
"2014-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","818025","","","","0"
"2014-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","733979","","","","0"
"2014-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","959102","","","","0"
"2014-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1236225","","","","0"
"2014-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","993002","","","","0"
"2014-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","735627","","","","0"
"2014-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","849800","","","","0"
"2014-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","789107","","","","0"
"2014-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","609017","","","","0"
"2015-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","709412","","","","0"
"2015-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","817555","","","","0"
"2015-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","869011","","","","0"
"2015-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","708087","","","","0"
"2015-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","735269","","","","0"
"2015-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1062867","","","","0"
"2015-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1037517","","","","0"
"2015-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","603645","","","","0"
"2015-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","968663","","","","0"
"2015-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","583145","","","","0"
"2015-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","770538","","","","0"
"2015-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","879796","","","","0"
"2016-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","658362","","","","0"
"2016-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","676356","","","","0"
"2016-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","784918","","","","0"
"2016-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","433461","","","","0"
"2016-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","289797","","","","0"
"2016-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","838359","","","","0"
"2016-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","529276","","","","0"
"2016-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","655639","","","","0"
"2016-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","739905","","","","0"
"2016-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","562141","","","","0"
"2016-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","775175","","","","0"
"2016-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","562255","","","","0"
"2017-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","684394","","","","0"
"2017-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","531644","","","","0"
"2017-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","839912","","","","0"
"2017-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","448335","","","","0"
"2017-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","403423","","","","0"
"2017-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1013542","","","","0"
"2017-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","730111","","","","0"
"2017-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","703961","","","","0"
"2017-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","698032","","","","0"
"2017-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","533983","","","","0"
"2017-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","860023","","","","0"
"2017-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","572049","","","","0"
"2018-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","819262","","","","0"
"2018-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","608312","","","","0"
"2018-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","622967","","","","0"
"2018-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","610577","","","","0"
"2018-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","681859","","","","0"
"2018-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","876082","","","","0"
"2018-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","810577","","","","0"
"2018-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","949513","","","","0"
"2018-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","927128","","","","0"
"2018-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","799284","","","","0"
"2018-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1094583","","","","0"
"2018-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","961345","","","","0"
"2019-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1014812","","","","0"
"2019-02","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","661228","","","","0"
"2019-03","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","822031","","","","0"
"2019-04","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","743725","","","","0"
"2019-05","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","685570","","","","0"
"2019-06","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","678800","","","","0"
"2019-07","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","650356","","","","0"
"2019-08","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","474192","","","","0"
"2019-09","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","759200","","","","0"
"2019-10","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","940008","","","","0"
"2019-11","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","787611","","","","0"
"2019-12","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","1000955","","","","0"
"2020-01","Saskatchewan","2016A000247","Wheat, excluding durum","Tonnes","288","units","0","v40106","5.3","858128","","","","0"
